Datetime,FE_MW
2011-09-25 01:00:00,5521.0
2011-09-25 02:00:00,5300.0
2011-09-25 03:00:00,5173.0
2011-09-25 04:00:00,5050.0
2011-09-25 05:00:00,5047.0
2011-09-25 06:00:00,5111.0
2011-09-25 07:00:00,5309.0
2011-09-25 08:00:00,5418.0
2011-09-25 09:00:00,5717.0
2011-09-25 10:00:00,6010.0
2011-09-25 11:00:00,6259.0
2011-09-25 12:00:00,6373.0
2011-09-25 13:00:00,6592.0
2011-09-25 14:00:00,6733.0
2011-09-25 15:00:00,6741.0
2011-09-25 16:00:00,6791.0
2011-09-25 17:00:00,6906.0
2011-09-25 18:00:00,6972.0
2011-09-25 19:00:00,6995.0
2011-09-25 20:00:00,7375.0
2011-09-25 21:00:00,7483.0
2011-09-25 22:00:00,7199.0
2011-09-25 23:00:00,6813.0
2011-09-25 00:00:00,5855.0
